iter	RMSE
254	8.093133445
255	8.077454634
256	8.069011858
257	8.063265699
258	8.050321409
259	8.039442668
260	8.033172799
261	8.027267174
262	8.016264761
263	8.009689974
264	7.997467832
265	7.994405734
266	7.982070873
267	7.972291666
268	7.959091424
269	7.948778663
270	7.943541141
271	7.926428866
272	7.916182271
273	7.904088772
274	7.892367512
275	7.887016548
276	7.875575481
277	7.863739549
278	7.860910405
279	7.849107061
280	7.839390631
281	7.834519031
282	7.82578659
283	7.815013119
284	7.809661807
285	7.799143249
286	7.788190226
287	7.778100104
288	7.775488131
289	7.77243533
290	7.754554368
291	7.747362354
292	7.74363861
293	7.740179861
294	7.734990058
295	7.725437984
296	7.713933226
297	7.708554132
298	7.697463329
299	7.682332253
300	7.680073383
301	7.674885224
302	7.668423053
303	7.660605986
304	7.650949807
305	7.640241143
306	7.633353754
307	7.624113162
308	7.613714585
309	7.605933182
310	7.601028451
311	7.595385312
312	7.58679119
313	7.575407568
314	7.570689514
315	7.560474157
316	7.551574622
317	7.538842768
318	7.528188817
319	7.518892941
320	7.511718252
321	7.503961866
322	7.49479479
323	7.490352968
324	7.478470287
325	7.470690977
326	7.460820229
327	7.456606025
328	7.449930909
329	7.441136338
330	7.436584047
331	7.428675361
332	7.420325076
333	7.414989052
334	7.409282455
335	7.401278086
336	7.394360671
337	7.386055611
338	7.378405456
339	7.373850954
340	7.364307824
341	7.358315134
342	7.354768242
343	7.348622919
344	7.336035311
345	7.332480306
346	7.316859396
347	7.31352566
348	7.300982367
349	7.288881134
350	7.281134579
351	7.265958834
352	7.26281598
353	7.255062375
354	7.246434296
355	7.235743142
356	7.228223866
357	7.22575942
358	7.215040445
359	7.203735336
360	7.196530999
361	7.181902799
362	7.175526735
363	7.164079419
364	7.159574854
365	7.152566057
366	7.145295146
367	7.136861786
368	7.127349563
369	7.119766801
370	7.111597655
371	7.104901929
372	7.093337707
373	7.088982614
374	7.078730989
375	7.067594701
376	7.064817499
377	7.05816265
378	7.051875705
379	7.051101745
380	7.047228498
381	7.043363782
382	7.037413155
383	7.026614861
384	7.017456137
385	7.011279364
386	7.001480518
387	6.993856827
388	6.988950617
389	6.981265348
390	6.975142259
391	6.969228413
392	6.966615552
393	6.95967544
394	6.955718257
395	6.948344694
396	6.938396823
397	6.935610747
398	6.929053499
399	6.921266238
400	6.914506122
401	6.903883447
402	6.894316511
403	6.889734713
404	6.884301722
405	6.873796665
406	6.872600528
407	6.866067503
408	6.859987674
409	6.856813149
410	6.851867279
411	6.848600839
412	6.84656991
413	6.842811537
414	6.832589876
415	6.82593494
416	6.819889001
417	6.812628531
418	6.811061218
419	6.80555481
420	6.800511594
421	6.79618552
422	6.790726822
423	6.779050662
424	6.775795099
425	6.766721499
426	6.761365395
427	6.755390636
428	6.746925675
429	6.742362873
430	6.736958259
431	6.734377417
432	6.727990247
433	6.724858872
434	6.72047453
435	6.710999517
436	6.697189838
437	6.691293208
438	6.687588469
439	6.684548633
440	6.678290717
441	6.673995363
442	6.667740931
443	6.665331874
444	6.66272233
445	6.656828517
446	6.650357923
447	6.644321676
448	6.641528535
449	6.637744196
450	6.63119549
451	6.628272472
452	6.6195091
453	6.607709549
454	6.604747024
455	6.595188741
456	6.592229997
457	6.587580359
458	6.581603952
459	6.578604249
460	6.57527923
461	6.565989128
462	6.561782317
463	6.55788765
464	6.555049129
465	6.543839087
466	6.540545336
467	6.532584875
468	6.522752604
469	6.520495247
470	6.51511958
471	6.512609188
472	6.510411883
473	6.508057859
474	6.506526376
475	6.496686331
476	6.492874327
477	6.488548794
478	6.485826433
479	6.480025244
480	6.475756218
481	6.473049955
482	6.470961672
483	6.463296247
484	6.458397264
485	6.455431531
486	6.450478792
487	6.448349684
488	6.444360145
489	6.438666057
490	6.431174909
491	6.42926598
492	6.426448613
493	6.421345779
494	6.415739231
495	6.412599283
496	6.40862608
497	6.405008971
498	6.399447882
499	6.390446085
500	6.386325998
501	6.384071427
502	6.378028833
503	6.373166979
504	6.36900695
505	6.363841632
506	6.360764338
507	6.350980954
508	6.343023484
509	6.341052073
510	6.334006601
511	6.332070138
512	6.326789946
513	6.319995125
514	6.314994305
515	6.313019271
516	6.306470793
517	6.298274512
518	6.29281989
519	6.291395744
520	6.283545651
521	6.279921139
522	6.276949581
523	6.270694725
524	6.266901188
525	6.26170511
526	6.258281953
527	6.255936744
528	6.251288527
529	6.246947985
530	6.243583734
531	6.240890555
532	6.234532662
533	6.229156232
534	6.226393272
535	6.221602672
536	6.212706592
537	6.205612384
538	6.203139714
539	6.193316237
540	6.190634966
541	6.188073347
542	6.181148148
543	6.178287842
544	6.176372389
545	6.173272925
546	6.166586802
547	6.162332057
548	6.157189417
549	6.1541262
550	6.143945789
551	6.137339895
552	6.133564384
553	6.127227158
554	6.123398763
555	6.118517737
556	6.115199412
557	6.112271858
558	6.106017659
559	6.101033205
560	6.091941313
561	6.088411965
562	6.085053985
563	6.079232379
564	6.076372016
565	6.072279026
566	6.06770015
567	6.063853837
568	6.0529294
569	6.047401939
570	6.044203877
571	6.034161304
572	6.02831631
573	6.022830251
574	6.016374383
575	6.014622826
576	6.009493712
577	6.004063328
578	6.002674066
579	5.999321561
580	5.990440645
581	5.985368303
582	5.9816857
583	5.97612475
584	5.971422864
585	5.966947394
586	5.96282142
587	5.958702332
588	5.953301237
589	5.951450686
590	5.949863352
591	5.945803235
592	5.943691575
593	5.939421214
594	5.935977846
595	5.927753378
596	5.926330646
597	5.92465568
598	5.922715954
599	5.921000653
600	5.919388903
601	5.910052862
602	5.901230993
603	5.892466757
604	5.887035097
605	5.88580297
606	5.883488904
607	5.882473204
608	5.880443206
609	5.872733133
610	5.868599851
611	5.860234311
612	5.856860836
613	5.849010919
614	5.844768213
615	5.840953309
616	5.83559598
617	5.831608175
618	5.826739337
619	5.821862431
620	5.815613068
621	5.809563874
622	5.807096274
623	5.802994241
624	5.796763991
625	5.792241204
626	5.787852621
627	5.786745172
628	5.784709013
629	5.782876796
630	5.779788651
631	5.774118975
632	5.771507083
633	5.768570574
634	5.767181018
635	5.763726787
636	5.759924442
637	5.757982473
638	5.750789647
639	5.748400767
640	5.746233567
641	5.735363794
642	5.734027303
643	5.731148278
644	5.729334539
645	5.726018439
646	5.718133181
647	5.716301216
648	5.705806683
649	5.695602145
650	5.689950218
651	5.688282955
652	5.681806937
653	5.67919539
654	5.678422869
655	5.673668623
656	5.671440928
657	5.668954476
658	5.667271478
659	5.66328873
660	5.661204111
661	5.655563673
662	5.652012694
663	5.638520258
664	5.635447657
665	5.630546581
666	5.625402141
667	5.624192268
668	5.620624504
669	5.612003545
670	5.609852532
671	5.605059058
672	5.599133191
673	5.597417711
674	5.595544242
675	5.591309971
676	5.588637552
677	5.586316598
678	5.58289243
679	5.580037044
680	5.574575014
681	5.570424671
682	5.562895376
683	5.555621013
684	5.553151001
685	5.548138573
686	5.543373655
687	5.534538735
688	5.532381803
689	5.529255986
690	5.520733213
691	5.518198718
692	5.514549197
693	5.512729918
694	5.510450108
695	5.504906531
696	5.500860354
697	5.492408578
698	5.480354736
699	5.478321536
700	5.474308102
701	5.470078866
702	5.465694466
703	5.460331303
704	5.458337695
705	5.454964775
706	5.453148545
707	5.448675411
708	5.445240801
709	5.443563709
710	5.435959307
711	5.434189625
712	5.427234457
713	5.417043875
714	5.409844744
715	5.407189509
716	5.405224306
717	5.400633351
718	5.398997715
719	5.395017554
720	5.393628396
721	5.390663444
722	5.389458026
723	5.380618198
724	5.379403797
725	5.37639125
726	5.371222753
727	5.367757306
728	5.359915217
729	5.35646049
730	5.351660194
731	5.348863118
732	5.342437657
733	5.339622643
734	5.334209011
735	5.332698534
736	5.330698821
737	5.3233825
738	5.318925234
739	5.314717581
740	5.307196869
741	5.30412134
742	5.299506717
743	5.29390703
744	5.289510971
745	5.284756811
746	5.28303377
747	5.281556542
748	5.280201992
749	5.27848637
750	5.26964163
751	5.267473083
752	5.266385356
753	5.263857923
754	5.262412958
755	5.254685992
756	5.252919795
757	5.251485733
758	5.24598712
759	5.240783186
760	5.239716132
761	5.238030915
762	5.233911968
763	5.229168222
764	5.22673178
765	5.22450343
766	5.222395627
767	5.221010475
768	5.217975781
769	5.212701677
770	5.208874301
771	5.201448741
772	5.198876511
773	5.194865279
774	5.193891263
775	5.192169963
776	5.188357088
777	5.184789618
778	5.18160763
779	5.180060827
780	5.178597607
781	5.177375689
782	5.176178117
783	5.174880456
784	5.17057344
785	5.166767893
786	5.164270451
787	5.159985517
788	5.158646432
789	5.154898415
790	5.147900035
791	5.143720898
792	5.140422952
793	5.136479937
794	5.130448164
795	5.125914076
796	5.120785663
797	5.112721879
798	5.106284143
799	5.099678634
800	5.093207957
801	5.089556611
802	5.08762365
803	5.08489365
804	5.081801938
805	5.078724365
806	5.077650809
807	5.075204711
808	5.071977868
809	5.067871781
810	5.067081585
811	5.063415119
812	5.061619497
813	5.056852413
814	5.052389208
815	5.048175342
816	5.045076104
817	5.039730054
818	5.03782524
819	5.034736899
820	5.030174113
821	5.027637175
822	5.023730971
823	5.019905829
824	5.013993489
825	5.002528658
826	5.001129734
827	4.99731243
828	4.993448449
829	4.986647766
830	4.981636665
831	4.977978465
832	4.975622063
833	4.969922781
834	4.967140807
835	4.96456708
836	4.960707033
837	4.957823108
838	4.955713254
839	4.954518351
840	4.951694133
841	4.946683742
842	4.941545816
843	4.935112379
844	4.93371141
845	4.930228455
846	4.922726213
847	4.919792658
848	4.913609326
849	4.908811278
850	4.903717881
851	4.900022462
852	4.898391863
853	4.896869462
854	4.892965654
855	4.887556377
856	4.880001173
857	4.878820616
858	4.87786686
859	4.87446303
860	4.872279322
861	4.869568187
862	4.868567903
863	4.866019607
864	4.864828733
865	4.858920766
866	4.854546443
867	4.852706006
868	4.851245165
869	4.846900562
870	4.846004005
871	4.840685264
872	4.837636004
873	4.834227792
874	4.832406322
875	4.829482637
876	4.823819305
877	4.822103902
878	4.818132222
879	4.816415251
880	4.815290035
881	4.809559298
882	4.803863441
883	4.801471045
884	4.800205628
885	4.798033086
886	4.794626026
887	4.787728428
888	4.785336729
889	4.782191312
890	4.778704614
891	4.776641146
892	4.77326036
893	4.771555803
894	4.770243862
895	4.766989293
896	4.764521979
897	4.760113236
898	4.756915489
899	4.7536601
900	4.747982535
901	4.747419635
902	4.743542374
903	4.740071368
904	4.737216247
905	4.735119057
906	4.73017383
907	4.727734258
908	4.722450641
909	4.715970878
910	4.714645533
911	4.711447609
912	4.70592789
913	4.70051147
914	4.696134724
915	4.694982112
916	4.693346535
917	4.691039939
918	4.689802477
919	4.689598704
920	4.68584371
921	4.680625233
922	4.677449963
923	4.672111519
924	4.669845542
925	4.661063968
926	4.659475618
927	4.656446803
928	4.654362306
929	4.651100671
930	4.648857528
931	4.645392637
932	4.642045946
933	4.637800866
934	4.636779491
935	4.631832776
936	4.628687429
937	4.625487279
938	4.619893368
939	4.61572706
940	4.609422945
941	4.60574401
942	4.603841005
943	4.598673902
944	4.594471085
945	4.592433296
946	4.590177101
947	4.587502628
948	4.581548164
949	4.578998746
950	4.578036483
951	4.573983672
952	4.571868842
953	4.568412912
954	4.56622701
955	4.563741612
956	4.561588629
957	4.557472038
958	4.553341924
959	4.55227838
960	4.543721982
961	4.542760467
962	4.538146748
963	4.534586555
964	4.529656788
965	4.528518456
966	4.523335285
967	4.521514509
968	4.517233896
969	4.513050205
970	4.511440642
971	4.509458764
972	4.506531379
973	4.504430243
974	4.503421271
975	4.50041042
976	4.496456083
977	4.495711247
978	4.49204911
979	4.490176177
980	4.488145664
981	4.485908315
982	4.481172203
983	4.479390455
984	4.475925369
985	4.473819288
986	4.470520875
987	4.467917938
988	4.465446674
989	4.464544873
990	4.462350478
991	4.458248206
992	4.45582698
993	4.453252989
994	4.450356966
995	4.444961974
996	4.441707869
997	4.438528389
998	4.435362646
999	4.428004534
