iter	Passed	Remaining
465	767	878
466	768	877
467	770	875
468	771	873
469	772	871
470	774	869
471	775	867
472	777	866
473	779	864
474	780	862
475	782	860
476	783	859
477	785	857
478	786	855
479	788	853
480	789	852
481	791	850
482	792	848
483	794	846
484	795	845
485	797	843
486	799	841
487	800	839
488	802	838
489	803	836
490	805	834
491	807	833
492	808	831
493	810	829
494	811	827
495	812	825
496	814	824
497	815	822
498	817	820
499	818	818
500	820	817
501	821	815
502	823	813
503	825	812
504	826	810
505	828	808
506	829	806
507	831	805
508	832	803
509	834	801
510	836	800
511	837	798
512	839	796
513	840	794
514	842	793
515	843	791
516	845	789
517	846	787
518	848	786
519	850	784
520	851	783
521	853	781
522	855	779
523	856	778
524	858	776
525	859	774
526	861	772
527	862	771
528	864	769
529	865	767
530	867	766
531	869	764
532	870	762
533	872	761
534	873	759
535	876	758
536	877	756
537	879	755
538	880	753
539	884	753
540	886	751
541	887	750
542	889	748
543	890	746
544	892	744
545	893	743
546	895	741
547	897	739
548	898	738
549	900	736
550	902	735
551	903	733
552	905	731
553	906	730
554	908	728
555	910	727
556	912	725
557	913	723
558	915	722
559	917	720
560	918	718
561	920	717
562	921	715
563	923	713
564	925	712
565	926	710
566	928	708
567	929	707
568	931	705
569	933	703
570	934	702
571	936	700
572	938	699
573	940	698
574	942	696
575	943	694
576	945	693
577	947	691
578	949	690
579	950	688
580	952	686
581	953	685
582	955	683
583	956	681
584	958	680
585	960	678
586	961	676
587	963	675
588	965	673
589	967	672
590	969	670
591	970	669
592	972	667
593	974	665
594	976	664
595	978	663
596	979	661
597	981	659
598	982	657
599	984	656
600	985	654
601	987	652
602	988	650
603	990	649
604	992	647
605	994	646
606	996	644
607	997	643
608	998	641
609	1000	639
610	1003	638
611	1005	637
612	1007	636
613	1009	634
614	1010	632
615	1012	630
616	1013	629
617	1015	627
618	1017	625
619	1018	624
620	1020	622
621	1022	621
622	1024	619
623	1025	618
624	1027	616
625	1028	614
626	1030	613
627	1032	611
628	1034	609
629	1036	608
630	1037	606
631	1039	605
632	1040	603
633	1042	601
634	1044	600
635	1046	598
636	1047	597
637	1049	595
638	1051	593
639	1052	592
640	1053	590
641	1055	588
642	1057	586
643	1058	585
644	1060	583
645	1062	581
646	1064	580
647	1065	578
648	1067	577
649	1068	575
650	1070	573
651	1072	572
652	1073	570
653	1075	568
654	1077	567
655	1079	566
656	1080	564
657	1082	562
658	1083	560
659	1085	559
660	1087	557
661	1089	556
662	1091	554
663	1092	552
664	1094	551
665	1095	549
666	1097	547
667	1099	546
668	1100	544
669	1102	542
670	1103	541
671	1105	539
672	1106	537
673	1108	536
674	1109	534
675	1111	532
676	1112	531
677	1114	529
678	1115	527
679	1117	525
680	1118	524
681	1120	522
682	1122	520
683	1123	519
684	1125	517
685	1127	516
686	1128	514
687	1130	512
688	1131	510
689	1133	509
690	1134	507
691	1136	505
692	1137	504
693	1139	502
694	1140	500
695	1142	498
